movie_id,title,runtime_minutes,genres,average_rating,num_votes,release_date,production_budget,domestic_gross,worldwide_gross,studio,year,roi_domestic,roi_worldwide
tt0337692,On the Road,124.0,Adventure,6.1,37886,2013-03-22,25000000,720828,9313302,IFC,2012,0.02883312,0.37253208
tt0337692,On the Road,124.0,Drama,6.1,37886,2013-03-22,25000000,720828,9313302,IFC,2012,0.02883312,0.37253208
tt0337692,On the Road,124.0,Romance,6.1,37886,2013-03-22,25000000,720828,9313302,IFC,2012,0.02883312,0.37253208
tt4339118,On the Road,89.0,Drama,6.0,6,2013-03-22,25000000,720828,9313302,IFC,2012,0.02883312,0.37253208
tt5647250,On the Road,121.0,Drama,5.7,127,2013-03-22,25000000,720828,9313302,IFC,2012,0.02883312,0.37253208
tt0359950,The Secret Life of Walter Mitty,114.0,Adventure,7.3,275300,2013-12-25,91000000,58236838,187861183,Fox,2013,0.6399652527472528,2.0644086043956045
tt0359950,The Secret Life of Walter Mitty,114.0,Comedy,7.3,275300,2013-12-25,91000000,58236838,187861183,Fox,2013,0.6399652527472528,2.0644086043956045
tt0359950,The Secret Life of Walter Mitty,114.0,Drama,7.3,275300,2013-12-25,91000000,58236838,187861183,Fox,2013,0.6399652527472528,2.0644086043956045
tt0365907,A Walk Among the Tombstones,114.0,Action,6.5,105116,2014-09-19,28000000,26017685,62108587,Uni.,2014,0.9292030357142858,2.2181638214285715
tt0365907,A Walk Among the Tombstones,114.0,Crime,6.5,105116,2014-09-19,28000000,26017685,62108587,Uni.,2014,0.9292030357142858,2.2181638214285715
tt0365907,A Walk Among the Tombstones,114.0,Drama,6.5,105116,2014-09-19,28000000,26017685,62108587,Uni.,2014,0.9292030357142858,2.2181638214285715
tt0369610,Jurassic World,124.0,Action,7.0,539338,2015-06-12,215000000,652270625,1648854864,Uni.,2015,3.0338168604651163,7.669092390697674
tt0369610,Jurassic World,124.0,Adventure,7.0,539338,2015-06-12,215000000,652270625,1648854864,Uni.,2015,3.0338168604651163,7.669092390697674
tt0369610,Jurassic World,124.0,Sci-Fi,7.0,539338,2015-06-12,215000000,652270625,1648854864,Uni.,2015,3.0338168604651163,7.669092390697674
tt0376136,The Rum Diary,119.0,Comedy,6.2,94787,2011-10-28,45000000,13109815,21544732,FD,2011,0.29132922222222224,0.4787718222222222
tt0376136,The Rum Diary,119.0,Drama,6.2,94787,2011-10-28,45000000,13109815,21544732,FD,2011,0.29132922222222224,0.4787718222222222
tt0383010,The Three Stooges,92.0,Comedy,5.1,28570,2012-04-13,30000000,44338224,54052249,Fox,2012,1.4779408,1.8017416333333334
tt0383010,The Three Stooges,92.0,Family,5.1,28570,2012-04-13,30000000,44338224,54052249,Fox,2012,1.4779408,1.8017416333333334
tt0398286,Tangled,100.0,Adventure,7.8,366366,2010-11-24,260000000,200821936,586477240,BV,2010,0.7723920615384615,2.255681692307692
tt0398286,Tangled,100.0,Animation,7.8,366366,2010-11-24,260000000,200821936,586477240,BV,2010,0.7723920615384615,2.255681692307692
